NRR,last 100 trees results,ext1 results
1,"44.57 (33.18, 58.90)","44.57 (33.18, 58.90)"
2,"12.29 (6.41, 19.95)","12.29 (6.41, 19.95)"
3,"29.51 (12.65, 44.30)","29.51 (12.65, 44.30)"
4,"11.51 (7.01, 19.95)","11.51 (7.01, 19.95)"
5,"10.72 (4.73, 16.52)","10.72 (4.73, 16.52)"
6,"9.15 (3.04, 15.94)","9.15 (3.04, 15.94)"
7,"9.90 (5.11, 16.25)","9.90 (5.11, 16.25)"
8,"29.27 (15.64, 49.02)","29.27 (15.64, 49.02)"
9,"53.69 (34.85, 87.70)","53.69 (34.85, 87.70)"
10,"61.56 (39.32, 98.48)","61.56 (39.32, 98.48)"
11,"7.67 (2.28, 15.53)","7.67 (2.28, 15.53)"
12,"38.41 (22.18, 53.54)","38.41 (22.18, 53.54)"
13,"22.25 (11.95, 40.48)","22.25 (11.95, 40.48)"
14,"26.63 (15.51, 47.13)","26.63 (15.51, 47.13)"
15,"42.95 (25.53, 53.05)","42.95 (25.53, 53.05)"
16,"19.41 (7.47, 47.36)","19.41 (7.47, 47.36)"
17,"57.85 (40.57, 78.07)","57.85 (40.57, 78.07)"
18,"38.68 (24.32, 53.43)","38.68 (24.32, 53.43)"
19,"43.52 (25.41, 68.09)","43.52 (25.41, 68.09)"
20,"56.96 (27.24, 89.63)","56.96 (27.24, 89.63)"
21,"46.48 (22.26, 64.40)","46.48 (22.26, 64.40)"
22,"43.15 (33.16, 60.47)","43.15 (33.16, 60.47)"
23,"42.64 (27.65, 56.72)","42.64 (27.65, 56.72)"
24,"14.89 (4.39, 42.53)","14.89 (4.39, 42.53)"
25,"28.00 (12.46, 43.06)","28.00 (12.46, 43.06)"
26,"49.19 (10.02, 84.62)","49.19 (10.02, 84.62)"
27,"69.29 (38.92, 144.91)","69.29 (38.92, 144.91)"
28,"42.04 (16.43, 86.82)","42.04 (16.43, 86.82)"
29,"23.53 (13.49, 33.80)","23.53 (13.49, 33.80)"
30,"37.19 (11.02, 65.43)","37.19 (11.02, 65.43)"
31,"72.50 (53.93, 89.72)","72.50 (53.93, 89.72)"
32,"53.59 (33.31, 82.66)","53.59 (33.31, 82.66)"
33,"51.63 (23.52, 79.02)","51.63 (23.52, 79.02)"
34,"40.94 (13.60, 64.21)","40.94 (13.60, 64.21)"
35,"51.54 (29.31, 92.17)","51.54 (29.31, 92.17)"
36,"46.12 (33.28, 67.26)","46.12 (33.28, 67.26)"
37,"38.60 (1.32, 107.83)","38.60 (1.32, 107.83)"
38,"85.72 (63.60, 137.84)","85.72 (63.60, 137.84)"
39,"78.48 (48.08, 119.33)","78.48 (48.08, 119.33)"
40,"43.13 (21.23, 64.83)","43.13 (21.23, 64.83)"
41,"14.70 (8.04, 38.73)","14.70 (8.04, 38.73)"
42,"14.91 (3.31, 41.24)","14.91 (3.31, 41.24)"
43,"47.99 (7.11, 84.34)","47.99 (7.11, 84.34)"
44,"49.39 (31.68, 74.92)","49.39 (31.68, 74.92)"
